time_s,q_rad,q_deg,qd_rad,qd_deg,qdot_rad_s,qd_dot_rad_s,e_rad,edot_rad_s,tau_cmd_Nm,tq_cmd_permille,pos_counts
0.619107,1.702067,97.521240,0.158180,9.063063,0.423717,0.342427,-1.543886,-0.081290,-23.198942,-1000.000000,88766
0.629084,1.702067,97.521240,0.159892,9.161161,0.402531,0.342427,-1.542174,-0.060104,-23.162667,-1000.000000,88766
0.637120,1.702067,97.521240,0.161605,9.259259,0.382405,0.342427,-1.540462,-0.039978,-23.126922,-1000.000000,88766
0.647055,1.702067,97.521240,0.163317,9.357357,0.363285,0.342427,-1.538750,-0.020858,-23.091679,-1000.000000,88766
0.656264,1.702067,97.521240,0.165029,9.455455,0.345120,0.342427,-1.537038,-0.002693,-23.056915,-1000.000000,88766
0.665056,1.702067,97.521240,0.166741,9.553554,0.327864,0.342427,-1.535326,0.014563,-23.022605,-1000.000000,88766
0.674154,1.702067,97.521240,0.168453,9.651652,0.311471,0.342427,-1.533614,0.030956,-22.988727,-1000.000000,88766
0.683051,1.702067,97.521240,0.170165,9.749750,0.295898,0.342427,-1.531901,0.046529,-22.955258,-1000.000000,88766
0.693103,1.702067,97.521240,0.171877,9.847848,0.281103,0.342427,-1.530189,0.061324,-22.922178,-1000.000000,88766
0.701138,1.702067,97.521240,0.173590,9.945946,0.267048,0.342427,-1.528477,0.075379,-22.889469,-1000.000000,88766
0.711069,1.702067,97.521240,0.175302,10.044044,0.253695,0.342427,-1.526765,0.088732,-22.857111,-1000.000000,88766
0.719270,1.702067,97.521240,0.177014,10.142142,0.241010,0.342427,-1.525053,0.101417,-22.825086,-1000.000000,88766
0.729099,1.702067,97.521240,0.178726,10.240240,0.228960,0.342427,-1.523341,0.113467,-22.793379,-1000.000000,88766
0.738132,1.702067,97.521240,0.180438,10.338338,0.217512,0.342427,-1.521629,0.124915,-22.761973,-1000.000000,88766
0.747034,1.702067,97.521240,0.182150,10.436436,0.206636,0.342427,-1.519917,0.135791,-22.730853,-1000.000000,88766
0.755097,1.702067,97.521240,0.183862,10.534535,0.196304,0.342427,-1.518204,0.146122,-22.700005,-1000.000000,88766
0.764066,1.702067,97.521240,0.185574,10.632633,0.186489,0.342427,-1.516492,0.155938,-22.669415,-1000.000000,88766
0.773171,1.702067,97.521240,0.187287,10.730731,0.177165,0.342427,-1.514780,0.165262,-22.639071,-1000.000000,88766
0.782048,1.702067,97.521240,0.188999,10.828829,0.168307,0.342427,-1.513068,0.174120,-22.608960,-1000.000000,88766
0.791158,1.702067,97.521240,0.190711,10.926927,0.159891,0.342427,-1.511356,0.182536,-22.579070,-1000.000000,88766
0.799153,1.702067,97.521240,0.192423,11.025025,0.151897,0.342427,-1.509644,0.190530,-22.549391,-1000.000000,88766
0.809210,1.702067,97.521240,0.194135,11.123123,0.144302,0.342427,-1.507932,0.198125,-22.519912,-1000.000000,88766
0.818148,1.702067,97.521240,0.195847,11.221221,0.137087,0.342427,-1.506219,0.205340,-22.490622,-1000.000000,88766
0.828080,1.702067,97.521240,0.197559,11.319319,0.130232,0.342427,-1.504507,0.212195,-22.461513,-1000.000000,88766
0.836141,1.702067,97.521240,0.199272,11.417417,0.123721,0.342427,-1.502795,0.218706,-22.432575,-1000.000000,88766
0.844105,1.702067,97.521240,0.200984,11.515516,0.117535,0.342427,-1.501083,0.224892,-22.403800,-1000.000000,88766
0.853156,1.702067,97.521240,0.202696,11.613614,0.111658,0.342427,-1.499371,0.230769,-22.375180,-1000.000000,88766
0.861125,1.702067,97.521240,0.204408,11.711712,0.106075,0.342427,-1.497659,0.236352,-22.346706,-1000.000000,88766
0.869147,1.702067,97.521240,0.206120,11.809810,0.100771,0.342427,-1.495947,0.241656,-22.318372,-1000.000000,88766
0.877078,1.702067,97.521240,0.207832,11.907908,0.095733,0.342427,-1.494235,0.246694,-22.290171,-1000.000000,88766
0.885136,1.702067,97.521240,0.209544,12.006006,0.090946,0.342427,-1.492522,0.251481,-22.262096,-1000.000000,88766
0.893138,1.702067,97.521240,0.211256,12.104104,0.086399,0.342427,-1.490810,0.256028,-22.234140,-1000.000000,88766
0.901148,1.702067,97.521240,0.212969,12.202202,0.082079,0.342427,-1.489098,0.260348,-22.206298,-1000.000000,88766
0.910126,1.702067,97.521240,0.214681,12.300300,0.077975,0.342427,-1.487386,0.264452,-22.178564,-1000.000000,88766
0.918137,1.702067,97.521240,0.216393,12.398398,0.074076,0.342427,-1.485674,0.268351,-22.150933,-1000.000000,88766
0.926111,1.702067,97.521240,0.218105,12.496496,0.070372,0.342427,-1.483962,0.272055,-22.123399,-1000.000000,88766
0.934145,1.702067,97.521240,0.219817,12.594595,0.066854,0.342427,-1.482250,0.275573,-22.095957,-1000.000000,88766
0.943158,1.702067,97.521240,0.221529,12.692693,0.063511,0.342427,-1.480537,0.278916,-22.068604,-1000.000000,88766
0.951151,1.702067,97.521240,0.223241,12.790791,0.060336,0.342427,-1.478825,0.282091,-22.041334,-1000.000000,88766
0.959129,1.702067,97.521240,0.224954,12.888889,0.057319,0.342427,-1.477113,0.285108,-22.014144,-1000.000000,88766
0.967142,1.702067,97.521240,0.226666,12.986987,0.054453,0.342427,-1.475401,0.287974,-21.987029,-1000.000000,88766
0.975149,1.702067,97.521240,0.228378,13.085085,0.051730,0.342427,-1.473689,0.290697,-21.959985,-1000.000000,88766
0.984188,1.702067,97.521240,0.230090,13.183183,0.049144,0.342427,-1.471977,0.293283,-21.933010,-1000.000000,88766
0.992109,1.702067,97.521240,0.231802,13.281281,0.046686,0.342427,-1.470265,0.295740,-21.906099,-1000.000000,88766
1.000098,1.702067,97.521240,0.233514,13.379379,0.044352,0.342427,-1.468553,0.298075,-21.879250,-1000.000000,88766
1.008137,1.702067,97.521240,0.235226,13.477477,0.042135,0.342427,-1.466840,0.300292,-21.852459,-1000.000000,88766
1.016038,1.702067,97.521240,0.236938,13.575576,0.040028,0.342427,-1.465128,0.302399,-21.825724,-1000.000000,88766
1.024131,1.702067,97.521240,0.238651,13.673674,0.038026,0.342427,-1.463416,0.304401,-21.799041,-1000.000000,88766
1.033038,1.702067,97.521240,0.240363,13.771772,0.036125,0.342427,-1.461704,0.306302,-21.772409,-1000.000000,88766
1.041133,1.702067,97.521240,0.242075,13.869870,0.034319,0.342427,-1.459992,0.308108,-21.745823,-1000.000000,88766
1.050102,1.702067,97.521240,0.243787,13.967968,0.032603,0.342427,-1.458280,0.309824,-21.719284,-1000.000000,88766
1.058133,1.702067,97.521240,0.245499,14.066066,0.030973,0.342427,-1.456568,0.311454,-21.692786,-1000.000000,88766
1.067138,1.702067,97.521240,0.247211,14.164164,0.029424,0.342427,-1.454855,0.313003,-21.666330,-1000.000000,88766
1.075132,1.702067,97.521240,0.248923,14.262262,0.027953,0.342427,-1.453143,0.314474,-21.639912,-1000.000000,88766
1.084162,1.702067,97.521240,0.250636,14.360360,0.026555,0.342427,-1.451431,0.315872,-21.613532,-1000.000000,88766
1.093123,1.702067,97.521240,0.252348,14.458458,0.025228,0.342427,-1.449719,0.317199,-21.587186,-1000.000000,88766
1.101144,1.702067,97.521240,0.254060,14.556557,0.023966,0.342427,-1.448007,0.318461,-21.560873,-1000.000000,88766
1.109296,1.702067,97.521240,0.255772,14.654655,0.022768,0.342427,-1.446295,0.319659,-21.534592,-1000.000000,88766
1.118136,1.702067,97.521240,0.257484,14.752753,0.021629,0.342427,-1.444583,0.320798,-21.508341,-1000.000000,88766
1.127092,1.702067,97.521240,0.259196,14.850851,0.020548,0.342427,-1.442870,0.321879,-21.482118,-1000.000000,88766
1.135138,1.702067,97.521240,0.260908,14.948949,0.019521,0.342427,-1.441158,0.322906,-21.455922,-1000.000000,88766
1.143128,1.702067,97.521240,0.262621,15.047047,0.018545,0.342427,-1.439446,0.323882,-21.429752,-1000.000000,88766
1.151166,1.702067,97.521240,0.264333,15.145145,0.017617,0.342427,-1.437734,0.324810,-21.403606,-1000.000000,88766
1.160093,1.702067,97.521240,0.266045,15.243243,0.016736,0.342427,-1.436022,0.325691,-21.377484,-1000.000000,88766
1.168141,1.702067,97.521240,0.267757,15.341341,0.015900,0.342427,-1.434310,0.326527,-21.351384,-1000.000000,88766
1.178137,1.702067,97.521240,0.269469,15.439439,0.015105,0.342427,-1.432598,0.327322,-21.325304,-1000.000000,88766
1.187158,1.702067,97.521240,0.271181,15.537538,0.014349,0.342427,-1.430886,0.328078,-21.299244,-1000.000000,88766
1.197071,1.702067,97.521240,0.272893,15.635636,0.013632,0.342427,-1.429173,0.328795,-21.273204,-1000.000000,88766
1.206170,1.702067,97.521240,0.274605,15.733734,0.012950,0.342427,-1.427461,0.329477,-21.247181,-1000.000000,88766
1.215056,1.702067,97.521240,0.276318,15.831832,0.012303,0.342427,-1.425749,0.330124,-21.221175,-1000.000000,88766
1.223140,1.702067,97.521240,0.278030,15.929930,0.011688,0.342427,-1.424037,0.330739,-21.195185,-1000.000000,88766
1.232225,1.702067,97.521240,0.279742,16.028028,0.011103,0.342427,-1.422325,0.331324,-21.169211,-1000.000000,88766
1.241169,1.702067,97.521240,0.281454,16.126126,0.010548,0.342427,-1.420613,0.331879,-21.143252,-1000.000000,88766
1.250113,1.702067,97.521240,0.283166,16.224224,0.010021,0.342427,-1.418901,0.332406,-21.117306,-1000.000000,88766
1.259099,1.702067,97.521240,0.284878,16.322322,0.009520,0.342427,-1.417188,0.332907,-21.091373,-1000.000000,88766
1.267182,1.702067,97.521240,0.286590,16.420420,0.009044,0.342427,-1.415476,0.333383,-21.065453,-1000.000000,88766
