time_s,q_rad,q_dot,q_ddot,tau_joint_Nm,tau_motor_load_Nm,tau_motor_rotor_Nm,tau_motor_friction_Nm,tau_motor_total_Nm
0.056,0.5594412292040398,-0.32754458524973495,-0.07631565198016688,0.4384205838936814,0.007307009731561356,-0.0017583126216230449,-0.02600424614992558,0.031552943259863894
0.058,0.5587881433992027,-0.32727844006288054,0.034672371341059716,0.44015921198021907,0.007335986866336985,0.0007988514356980159,-0.025983489185434173,0.03411832748746917
0.06,0.5581350538484127,-0.3265968531875971,0.14378241590122798,0.44186046600897055,0.007364341100149509,0.003312746862364293,-0.025930327369146026,0.03660741533165983
0.062,0.5574826811532052,-0.32553373615800085,0.24651072210468783,0.4434356786283518,0.007390594643805864,0.005679607037292008,-0.02584739559316822,0.038917597274266094
0.064,0.5568317554518732,-0.32415495767533287,0.338293925619638,0.44479500984806825,0.0074132501641344705,0.0077942920462764605,-0.02573981847294049,0.04094736068335142
0.066,0.5561830164194665,-0.3225587637629821,0.414509057385402,0.44584744704725165,0.007430790784120861,0.009550288682159663,-0.025615248078190697,0.04259632754447122
0.068,0.5555372132677924,-0.3208761979213486,0.4704735436070564,0.4465008049798717,0.007441680082997862,0.01083971044470658,-0.025483902610917816,0.043765293138622256
0.07,0.554895104745415,-0.31927152128278813,0.5014452057575909,0.4466617257777316,0.007444362096295527,0.011553297540654895,-0.025358604618799636,0.04435626425575006
0.07200000000000001,0.5542584278873262,-0.317800593577354,0.49181032229532207,0.4460222853908048,0.007433704756513413,0.011331309825684222,-0.02524372218128883,0.04400873676348646
0.074,0.5536260443222316,-0.3162341634996866,0.4531687947024068,0.4448113638906303,0.0074135227315105055,0.010441009029943453,-0.02512135153689185,0.04297588329834581
0.076,0.5529969033699641,-0.31467658160165723,0.3939650314186167,0.4431954231508136,0.007386590385846894,0.00907695432388493,-0.024999642310343257,0.04146318702007508
0.078,0.5523703381938451,-0.31325884929965286,0.3183667616833077,0.4412565164874811,0.0073542752747913515,0.00733517018918341,-0.024888835186302652,0.03957828065027741
0.08,0.5517456834413618,-0.31208262229843964,0.23053243870162987,0.43907651385675983,0.007317941897612664,0.005311467387685552,-0.02479688510332955,0.03742629438862777
0.082,0.551122275244167,-0.31122027597802804,0.13461123964324884,0.4367371018651485,0.007278951697752475,0.0031014429613804534,-0.024729461612022267,0.0351098562711552
0.084,0.5504994512180793,-0.3107149707807131,0.03474306564277185,0.434319783777945,0.00723866306296575,0.0008004802324094635,-0.024689949599673817,0.03272909289504903
0.08600000000000001,0.5498765504630827,-0.310580717597996,-0.06494145819993946,0.43190587952572157,0.007198431325428693,-0.0014962511969266053,-0.02467945124148778,0.030381631369989864
0.088,0.5492529135633271,-0.31080244315751604,-0.16032098282107654,0.42957652570884775,0.007159608761814129,-0.0036937954441976038,-0.02469678966584516,0.028162602983461685
0.09,0.5486278825871275,-0.3113360554100466,-0.24728343519228702,0.42741267560015744,0.0071235445933359575,-0.005697410346830294,-0.024738514475853273,0.026164648722358935
0.092,0.5480031453379549,-0.31176479214403474,-0.34788953382900445,0.4249787202374501,0.007082978670624168,-0.008015374859420263,-0.024772036250611983,0.023839640061815888
0.094,0.5473809169297781,-0.3119285688818114,-0.492976024564058,0.4216656603850283,0.007027761006417138,-0.011358167605955897,-0.024784840927816555,0.020454434328277794
