time_s,qd_rad,qd_dot,qd_ddot,tau_Nm
0.3,0.5389469122072142,-0.13783382365128993,-1.8271761999644198,1.551212316718212
0.305,0.5382291934608333,-0.1503956600260481,-1.9413747124608083,1.5493493368278894
0.31,0.5374429556069538,-0.15724757077589802,-0.6851910749849921,1.5473172551345953
0.315,0.5366567177530743,-0.15724757077589802,-1.1102230246251565e-12,1.5452802199853983
0.32,0.5358704798991948,-0.15724757077590912,-1.1102230246251565e-12,1.543237433252909
0.325,0.5350842420453152,-0.15724757077590912,0.0,1.541193692537442
0.33,0.5342980041914357,-0.15724757077590912,0.0,1.5391489991023766
0.335,0.5335117663375561,-0.15724757077590912,0.0,1.5371033542116803
0.34,0.5327255284836766,-0.15724757077590912,0.0,1.5350567591299098
0.34500000000000003,0.5319392906297971,-0.15724757077590912,-0.6794337841131703,1.5330044590857195
0.35000000000000003,0.5311530527759175,-0.16404190861704082,-2.5478766904241112,1.5309428883174732
0.355,0.5302988715436266,-0.18272633768015023,-3.0574520285087115,1.528712735000873
0.36,0.529325789399116,-0.19461642890212794,-1.1890091221977706,1.526187930895988
0.365,0.5283527072546054,-0.19461642890212794,0.0,1.5236569256164978
0.37,0.5273796251100947,-0.19461642890212794,-1.1102230246251565e-12,1.5211161545394964
0.375,0.5264065429655841,-0.19461642890213904,-1.1102230246251565e-12,1.5185739431346672
0.38,0.5254334608210733,-0.19461642890213904,1.1102230246251565e-12,1.5160302938092014
