time_s,qd_rad,tau_Nm
1.9100000000000001,0.04399841145306248,0.13294270613780576
1.915,0.04267446896957983,0.1289452025316767
1.92,0.04137844053024695,0.12503145102133711
1.925,0.04010567379437214,0.12118742479399477
1.93,0.03883290705849726,0.11734295629836883
1.935,0.037560140322622455,0.11349818840348803
1.94,0.03628737358674757,0.10965333078152904
1.945,0.035014606850872765,0.10580892870359095
1.95,0.03374184011499796,0.10196501303271699
1.955,0.032469073379123074,0.09812104328897951
1.96,0.031196306643248267,0.09427678557643918
1.965,0.02992353990737339,0.0904320848461762
1.97,0.028678228740767583,0.08666981419416198
1.975,0.027465864257284592,0.08300657537689597
1.98,0.02625349977380153,0.07934291350669626
1.985,0.02504113529031854,0.0756789880771271
1.99,0.02382877080683548,0.07201503742868635
1.995,0.022616406323352486,0.06835157611696009
2.0,0.021404041839869492,0.06468876123698591
2.005,0.020191677356386432,0.06102597627673301
2.0100000000000002,0.01897931287290344,0.05736299964757618
2.015,0.017766948389420376,0.053699682129346976
2.02,0.016574743653798123,0.050096870562681854
2.025,0.01541781847693211,0.04660025755681848
2.0300000000000002,0.01426089330006616,0.043103295996952576
2.035,0.013103968123200208,0.03960612543114167
2.04,0.011947042946334193,0.0361089577758461
2.045,0.010790117769468243,0.032612262423829225
2.05,0.009633192592602226,0.029116436479864664
2.055,0.008476267415736276,0.025620756673418295
2.06,0.007319342238870326,0.02212493562548749
2.065,0.006162417062004311,0.01862877645431393
2.07,0.005024399335518022,0.01518931908814575
2.075,0.0039368014767107926,0.011901792827209767
2.08,0.0028492036179036235,0.008613882275742989
2.085,0.0017616057590964544,0.0053257517489274445
2.09,0.000674007900289225,0.0020376560591556197
2.095,-0.00041358995851794363,-0.0012499357393370748
2.1,-0.001501187817325173,-0.0045364260893721985
2.105,-0.0025887856761323417,-0.007822696581696117
2.11,-0.003676383534939512,-0.011109044439913137
2.115,-0.00476398139374674,-0.014395676141571716
2.12,-0.005838939621822818,-0.017644505279866295
2.125,-0.006857019511609026,-0.020721851022051863
2.13,-0.007875099401395178,-0.023799558891517872
2.1350000000000002,-0.00889317929118133,-0.02687747308058626
2.14,-0.009911259180967538,-0.029955347035537747
2.145,-0.01092933907075369,-0.03303277920117766
2.15,-0.011947418960539899,-0.03610895202131004
2.1550000000000002,-0.012965498850326052,-0.03918483467612035
2.16,-0.01398357874011226,-0.042260745253661594
2.165,-0.015001658629898412,-0.0453369076007206
2.17,-0.016013175285764035,-0.04839361674858669
2.1750000000000003,-0.016959059602424387,-0.051252400752009805
2.18,-0.017904943919084683,-0.054111550131959014
2.185,-0.018850828235745035,-0.05697091240162233
2.19,-0.01979671255240533,-0.05983024083292283
2.195,-0.02074259686906563,-0.06268919445652213
2.2,-0.021688481185725982,-0.06554699315236452
2.205,-0.02263436550238628,-0.0684045506888762
2.21,-0.02358024981904663,-0.0712620774420935
2.215,-0.02452613413570693,-0.07411972295003373
2.22,-0.025472018452367226,-0.07697757591269865
2.225,-0.026371296459443673,-0.07969484750498541
2.23,-0.027270574466520068,-0.08241232841758579
2.235,-0.028169852473596515,-0.08512992519610561
2.24,-0.02906913048067291,-0.08784748354813084
2.245,-0.029968408487749305,-0.09056478834323052
2.25,-0.030867686494825748,-0.0932811635920766
2.255,-0.03176696450190215,-0.09599726339359928
2.2600000000000002,-0.032666242508978593,-0.09871329622846553
2.265,-0.033565520516054985,-0.10142941190767524
2.27,-0.034464798523131376,-0.10414570157256396
2.275,-0.035323217254464495,-0.10673877925304891
2.2800000000000002,-0.03617755005822323,-0.10931970348357359
2.285,-0.03703188286198201,-0.11190073193172102
2.29,-0.03788621566574074,-0.11448172137334335
2.295,-0.038740548469499474,-0.11706246991462353
2.3000000000000003,-0.039594881273258255,-0.11964262049748492
2.305,-0.04044921407701699,-0.12222258371181487
2.31,-0.04130354688077577,-0.12480245557326723
2.315,-0.042157879684534494,-0.12738227637042768
2.32,-0.04301221248829323,-0.12996207066690438
2.325,-0.043856689058794224,-0.1325120858718026
2.33,-0.04469897535523789,-0.13505546536349783
2.335,-0.0455412616516816,-0.13759880050406695
2.34,-0.04638354794812526,-0.14014205303574348
2.345,-0.04722583424456898,-0.14268516897578637
2.35,-0.048068120541012636,-0.1452281416252545
2.355,-0.0489104068374563,-0.14777103863177735
2.36,-0.04975269313390001,-0.15031383605355922
2.365,-0.050594979430343676,-0.15285650005724455
2.37,-0.05143726572678739,-0.15539900836116274
2.375,-0.05228598791950173,-0.15796077590062166
2.38,-0.053137123573317575,-0.16052966039574904
2.3850000000000002,-0.05398825922713347,-0.1630983892178426
2.39,-0.05483939488094931,-0.16566698623453927
2.395,-0.055690530534765206,-0.16823548686517073
2.4,-0.05654166618858105,-0.1708038899832862
2.4050000000000002,-0.057392801842396896,-0.17337214627061406
2.41,-0.05824393749621279,-0.1759402691743219
2.415,-0.05909507315002863,-0.1785082856923916
2.42,-0.059946208803844526,-0.18107621274533137
2.4250000000000003,-0.060792431643873955,-0.18362923582035212
2.43,-0.061635847161739706,-0.18617370567191077
2.435,-0.06247926267960551,-0.18871807881819688
2.44,-0.06332267819747127,-0.19126233191998793
2.445,-0.06416609371533706,-0.19380643156059055
2.45,-0.06500950923320281,-0.19634998589977606
2.455,-0.06585292475106858,-0.19889294345412528
2.46,-0.06669634026893437,-0.201435666632955
2.465,-0.06753975578680013,-0.20397840521014932
2.47,-0.06838317130466592,-0.20652132380843424
2.475,-0.06919100576019119,-0.20895721697965364
2.48,-0.06996918933043272,-0.21130397704882106
2.485,-0.07074737290067423,-0.2136509226685659
2.49,-0.07152555647091573,-0.21599787824506209
2.495,-0.07230374004115728,-0.21834458303330184
