t_s,q_joint_deg,qd_joint_deg_s,qdd_joint_deg_s2,tau_joint_ff_Nm,tau_dead_Nm,tau_joint_total_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_pos_deg_est,motor_vel_native
0.330000,-53.318328,432.588750,526.230838,-0.482793,0.160200,12.333207,0.154165,0.000000,3682,1294.453125,0
0.332000,-52.426788,458.730500,517.431693,-0.478051,0.160200,12.337949,0.154224,0.000000,3682,1294.453125,0
0.334000,-51.483406,484.418500,508.120883,-0.472859,0.160200,12.343141,0.154289,0.000000,3682,1294.453125,0
0.336000,-50.489114,509.627750,498.307614,-0.467198,0.160200,12.348802,0.154360,0.000000,3682,1294.453125,0
0.338000,-49.444895,534.332750,488.001591,-0.461045,0.160200,12.354955,0.154437,0.000000,3682,1294.453125,0
0.340000,-48.351783,558.509250,477.213005,-0.454379,0.160200,12.361621,0.154520,0.000000,3682,1294.453125,0
0.342000,-47.210858,582.133750,465.952524,-0.447182,0.160200,12.368818,0.154610,0.000000,3682,1294.453125,0
0.344000,-46.023248,605.182500,454.231283,-0.439434,0.160200,12.376566,0.154707,0.000000,3682,1294.453125,0
0.346000,-44.790128,627.633000,442.060872,-0.431118,0.160200,12.384882,0.154811,0.000000,3682,1294.453125,0
0.348000,-43.512716,649.462750,429.453327,-0.422218,0.160200,12.393782,0.154922,0.000000,3682,1294.453125,0
0.350000,-42.192277,670.650000,416.421115,-0.412720,0.160200,12.403280,0.155041,0.000000,3682,1294.453125,0
0.352000,-40.830116,691.174250,402.977123,-0.402613,0.160200,12.413387,0.155167,0.000000,3682,1294.453125,0
0.354000,-39.427580,711.015250,389.134644,-0.391885,0.160200,12.424115,0.155301,0.000000,3682,1294.453125,0
0.356000,-37.986055,730.153000,374.907367,-0.380531,0.160200,12.435469,0.155443,0.000000,3682,1294.453125,0
0.358000,-36.506968,748.568500,360.309360,-0.368546,0.160200,12.447454,0.155593,0.000000,3682,1294.453125,0
0.360000,-34.991781,766.244000,345.355060,-0.355927,0.160200,12.460073,0.155751,0.000000,3682,1294.453125,0
0.362000,-33.441992,783.162000,330.059253,-0.342677,0.160200,12.473323,0.155917,0.000000,3682,1294.453125,0
0.364000,-31.859133,799.305250,314.437066,-0.328798,0.160200,12.487202,0.156090,0.000000,3682,1294.453125,0
0.366000,-30.244771,814.658000,298.503945,-0.314300,0.160200,12.501700,0.156271,0.000000,3682,1294.453125,0
0.368000,-28.600501,829.205500,282.275647,-0.299192,0.160200,12.516808,0.156460,0.000000,3682,1294.453125,0
0.370000,-26.927949,842.933000,265.768219,-0.283490,0.160200,12.532510,0.156656,0.000000,3682,1294.453125,0
0.372000,-25.228769,855.827000,248.997985,-0.267210,0.160200,12.548790,0.156860,0.000000,3682,1294.453125,0
0.374000,-23.504641,867.874500,231.981527,-0.250373,0.160200,12.565627,0.157070,0.000000,3682,1294.453125,0
0.376000,-21.757271,879.063750,214.735673,-0.233005,0.160200,12.582995,0.157287,0.000000,3682,1294.453125,0
0.378000,-19.988386,889.384000,197.277477,-0.215131,0.160200,12.600869,0.157511,0.000000,3682,1294.453125,0
0.380000,-18.199735,898.824500,179.624202,-0.196783,0.160200,12.619217,0.157740,0.000000,3682,1294.453125,0
0.382000,-16.393088,907.376250,161.793304,-0.177994,0.160200,12.638006,0.157975,0.000000,3682,1294.453125,0
0.384000,-14.570230,915.031000,143.802416,-0.158802,0.160200,12.657198,0.158215,0.000000,3682,1294.453125,0
0.386000,-12.732964,921.780750,125.669328,-0.139244,0.160200,12.676756,0.158459,0.000000,3682,1294.453125,0
0.388000,-10.883107,927.618750,107.411971,-0.119362,0.160200,12.696638,0.158708,0.000000,3682,1294.453125,0
0.390000,-9.022489,932.539750,89.048399,-0.099200,0.160200,12.716800,0.158960,0.000000,3682,1294.453125,0
0.392000,-7.152948,936.538750,70.596771,-0.078804,0.160200,12.737196,0.159215,0.000000,3682,1294.453125,0
0.394000,-5.276334,939.611250,52.075334,-0.058219,0.160200,12.757781,0.159472,0.000000,3682,1294.453125,0
0.396000,-3.394503,941.754750,33.502401,-0.037496,0.160200,12.778504,0.159731,0.000000,3682,1294.453125,0
0.398000,-1.509315,942.967250,14.896339,-0.016682,0.160200,12.799318,0.159991,0.000000,3682,1294.453125,0
0.400000,0.377366,943.247000,-3.724453,0.004172,0.160200,12.820172,0.160252,0.000000,3682,1294.453125,0
0.402000,2.263673,942.594000,-22.341562,0.025015,0.160200,12.841015,0.160513,0.000000,3682,1294.453125,0
0.404000,4.147742,941.009250,-40.936579,0.045799,0.160200,12.861799,0.160772,0.000000,3682,1294.453125,0
0.406000,6.027710,938.493750,-59.491115,0.066472,0.160200,12.882472,0.161031,0.000000,3682,1294.453125,0
0.408000,7.901717,935.050000,-77.986823,0.086987,0.160200,12.902987,0.161287,0.000000,3682,1294.453125,0
0.410000,9.767910,930.681750,-96.405414,0.107296,0.160200,12.923296,0.161541,0.000000,3682,1294.453125,0
0.412000,11.624444,925.393250,-114.728673,0.127351,0.160200,12.943351,0.161792,0.000000,3682,1294.453125,0
0.414000,13.469483,919.189750,-132.938482,0.147108,0.160200,12.963108,0.162039,0.000000,3682,1294.453125,0
0.416000,15.301203,912.077500,-151.016834,0.166525,0.160200,12.982525,0.162282,0.000000,3682,1294.453125,0
0.418000,17.117793,904.063000,-168.945853,0.185560,0.160200,13.001560,0.162520,0.000000,3682,1294.453125,0
0.420000,18.917455,895.154250,-186.707808,0.204177,0.160200,13.020177,0.162752,0.000000,3682,1294.453125,0
0.422000,20.698410,885.360750,-204.285136,0.222339,0.160200,13.038339,0.162979,0.000000,3682,1294.453125,0
0.424000,22.458898,874.691750,-221.660456,0.240014,0.160200,13.056014,0.163200,0.000000,3682,1294.453125,0
0.426000,24.197177,863.157750,-238.816585,0.257173,0.160200,13.073173,0.163415,0.000000,3682,1294.453125,0
0.428000,25.911529,850.770250,-255.736559,0.273790,0.160200,13.089790,0.163622,0.000000,3682,1294.453125,0
0.430000,27.600258,837.541250,-272.403647,0.289841,0.160200,13.105841,0.163823,0.000000,3682,1294.453125,0
0.432000,29.261694,823.484250,-288.801367,0.305308,0.160200,13.121308,0.164016,0.000000,3682,1294.453125,0
0.434000,30.894195,808.613000,-304.913503,0.320173,0.160200,13.136173,0.164202,0.000000,3682,1294.453125,0
0.436000,32.496146,792.941750,-320.724125,0.334424,0.160200,13.150424,0.164380,0.000000,3682,1294.453125,0
0.438000,34.065962,776.486750,-336.217596,0.348052,0.160200,13.164052,0.164551,0.000000,3682,1294.453125,0
0.440000,35.602093,759.264000,-351.378597,0.361051,0.160200,13.177051,0.164713,0.000000,3682,1294.453125,0
0.442000,37.103018,741.290000,-366.192135,0.373416,0.160200,13.189416,0.164868,0.000000,3682,1294.453125,0
0.444000,38.567253,722.583250,-380.643561,0.385148,0.160200,13.201148,0.165014,0.000000,3682,1294.453125,0
0.446000,39.993351,703.162250,-394.718586,0.396251,0.160200,13.212251,0.165153,0.000000,3682,1294.453125,0
0.448000,41.379902,683.045750,-408.403291,0.406729,0.160200,13.222729,0.165284,0.000000,3682,1294.453125,0
0.450000,42.725534,662.253500,-421.684145,0.416592,0.160200,13.232592,0.165407,0.000000,3682,1294.453125,0
0.452000,44.028916,640.806500,-434.548013,0.425849,0.160200,13.241849,0.165523,0.000000,3682,1294.453125,0
0.454000,45.288760,618.726000,-446.982176,0.434513,0.160200,13.250513,0.165631,0.000000,3682,1294.453125,0
0.456000,46.503820,596.033500,-458.974338,0.442600,0.160200,13.258600,0.165733,0.000000,3682,1294.453125,0
0.458000,47.672894,572.751750,-470.512641,0.450126,0.160200,13.266126,0.165827,0.000000,3682,1294.453125,0
0.460000,48.794827,548.903750,-481.585675,0.457108,0.160200,13.273108,0.165914,0.000000,3682,1294.453125,0
